year,category,nominee,workers,winner
1959,"Best Performance, Documentary or Spoken Word",The Best Of The Stan Freberg Shows,Stan Freberg (narrator),True
1959,Best R&B Vocal Performance by a Duo or Group,Tequila,"The Champs, Gene Alden, Buddy Bruce, Dave Burgess, Danny Flores",True
1959,Best Recording for Children,The Chipmunk Song (Christmas Don't Be Late),Ross Bagdasarian,True
1959,Best Rhythm & Blues Performance,Tequila,The Champs (artist),True
1959,"Best Sound Track Album, Dramatic Picture Score or Original Cast",Gigi,André Previn (artist),True
1959,"Best Soundtrack Album, Dramatic Picture Score or Original Cast",Gigi,André Previn,True
1959,"Best Soundtrack Album, Dramatic Picture Score or Original Cast",I Want to Live!,Johnny Mandel,False
1959,"Best Soundtrack Album, Dramatic Picture Score or Original Cast",The Bridge on the River Kwai,Malcolm Arnold,False
1959,"Best Vocal Performance, Female",Ella Fitzgerald,,True
1959,"Best Vocal Performance, Male",Perry Como,,True
1959,Record of the Year,Nel Blu Dipinto di Blu (Volare).,Domenico Modugno,True
1959,Song of the Year,Nel Blu Dipinto di Blu (Volare).,Domenico Modugno,True
1961,Album of the Year,The Button-Down Mind of Bob Newhart,Bob Newhart,True
1961,Best Album Cover,Latin A La Lee.,"Marvin Schwartz (art director), Peggy Lee (artist)",True
1961,Best Album Created For Children,Let's All Sing With The Chipmunks.,Ross Bagdasarian,True
1961,Best Arrangement,Mr. Lucky.,Henry Mancini (artist/arranger),True
1961,Best Classical Opera Production,Puccini: Turandot.,"Erich Leinsdorf (artist), Rome Opera Orchestra (artists)",True
1961,Best Classical Performance - Vocal Or Instrumental - Chamber Music,Conversations With The Guitar.,Laurindo Almeida (artist),True
1961,Best Classical Performance- Choral (Including Oratorio),Handel: Messiah.,"Royal Philharmonic Orchestra (artists), Royal Philharmonic Chorus (artists)",True
1961,Best Classical Performance- Concerto Or Instrumental Soloist,Brahms: Piano Concerto No. 2 In B Flat.,"Svyatoslav Richter (artist), Chicago Symphony Orchestra (artists)",True
1961,Best Classical Performance- Instrumental Soloist Or Duo (Other Than With Orchestral Accompaniment),The Spanish Guitars Of Laurindo Almeida.,Laurindo Almeida (artist),True
1961,Best Classical Performance- Orchestra,"Bartók: Music For Strings, Percussion And Celeste.",Chicago Symphony Orchestra (artists),True
1961,Best Classical Performance- Vocal Soloist,A Program Of Song - Leontyne Price Recital.,Leontyne Price (artist),True
1961,Best Comedy Performance - Musical,Jonathan And Darlene Edwards In Paris.,"Paul Weston (artist), Jo Stafford (artist)",True
1961,Best Comedy Performance - Spoken Word,The Button-Down Mind Strikes Back!.,Bob Newhart,True
1961,Best Contemporary Classical Composition,Copland: Orchestral Suite From Tender Land Suite.,Aaron Copland (composer),True
1961,Best Country & Western Performance,El Paso.,Marty Robbins (artist),True
1961,Best Engineering Contribution - Classical Recording,The Spanish Guitars Of Laurindo Almeida.,"Hugh Davies (engineer), Laurindo Almeida (artist)",True
1961,Best Engineering Contribution - Novelty Recording,The Old Payola Roll Blues.,"John Kraus (engineer), Stan Freberg (artist)",True
1961,Best Engineering Contribution - Popular Recording,Ella Fitzgerald Sings The George And Ira Gershwin Songbook.,"Luis Valentin (engineer), Ella Fitzgerald (artist)",True
1961,Best Jazz Composition Of More Than Five Minutes Duration,Sketches Of Spain.,"Miles Davis (artist/composer), Gil Evans (artist/composer)",True
1961,Best Jazz Performance Large Group,Blues And The Beat.,Henry Mancini (artist),True
1961,Best Jazz Performance Solo or Small Group,West Side Story.,André Previn (artist),True
1961,Best New Artist,Bob Newhart,,True
1961,Best New Artist,Leontyne Price,,False
1961,Best New Artist,The Brothers Four,,False
1961,Best Performance By A Pop Single Artist,Georgia On My Mind.,Ray Charles (artist),True
1961,Best Performance by a Band For Dancing,Dance With Basie.,Count Basie (artist),True
1961,Best Performance by a Chorus (7 Or More Persons),Songs Of The Cowboy.,The Norman Luboff Choir (artist),True
1961,Best Performance by a Vocal Group (2 To 6),We Got Us.,"Eydie Gormé (artist), Steve Lawrence (artist)",True
1961,Best Performance by an Orchestra,Mr. Lucky.,Henry Mancini (artist),True
1961,Best Performance- Documentary or Spoken Word (Other Than Comedy),FDR Speaks.,Franklin D. Roosevelt (artist),True
1961,Best Performance- Folk,Swing Dat Hammer.,Harry Belafonte (artist),True
1961,Best Rhythm & Blues Performance,Let The Good Times Roll.,Ray Charles (artist),True
1961,Best Show Album (Original Cast),The Sound Of Music (Original Broadway Cast).,"Mary Martin (artist), Richard Rodgers (composer), Oscar Hammerstein II (composer)",True
1961,Best Soundtrack Album or Recording of Music Score from Motion Picture or Television,Exodus,Ernest Gold,True
1961,Best Soundtrack Album or Recording of Music Score from Motion Picture or Television,Mr. Lucky,Henry Mancini,False
1961,Best Soundtrack Album or Recording of Music Score from Motion Picture or Television,The Untouchables,Nelson Riddle,False
1961,Best Soundtrack Album or Recording of Original Cast from a Motion Picture or TV,Can-Can,Cole Porter (film score),True
1961,Best Soundtrack Album or Recording of Original Cast from a Motion Picture or TV,G.I. Blues,Elvis Presley,False
1961,"Best Vocal Performance Album, Female",Mack The Knife - Ella In Berlin.,Ella Fitzgerald (artist),True
1961,"Best Vocal Performance Album, Male",The Genius Of Ray Charles.,Ray Charles (artist),True
1961,"Best Vocal Performance Single Record Or Track, Female",Mack The Knife.,Ella Fitzgerald (artist),True
1961,"Best Vocal Performance Single Record or Track, Female",Mack The Knife.,Ella Fitzgerald (artist),True
1961,"Best Vocal Performance Single Record or Track, Male",Georgia On My Mind.,Ray Charles (artist),True
1961,Record of the Year,The Theme From A Summer Place.,Percy Faith and His Orchestra (artist),True
1961,Song of the Year,Theme From Exodus.,Ernest Gold (artist/songwriter),True
1961,Best Spoken Word Album,Hamlet,John Gielgud,False
1962,Album Of the Year - Classical,Stravinsky Conducts 1960: Le Sacre Du Printemps; Petrouchka.,Igor Stravinsky (artist),True
1962,Album of the Year,Judy at Carnegie Hall.,Judy Garland (Artist),True
1962,Album of the Year,The Nat King Cole Story.,"Lee Gillette (Producer), Nat 'King' Cole (Artist and Arranger)",False
1962,Best Album Cover (Other Than Classical),Judy At Carnegie Hall.,"Jim Silke (art director), Judy Garland (artist)",True
1962,Best Album Cover- Classical,Puccini: Madame Butterfly.,"Marvin Schwartz (art director), Gabriele Santini (conductor)",True
1962,Best Classical Performance- Chamber Music,"Beethoven: Serenade, Op. 8/Kodaly: Duo For Violin And Cello, Op. 7.","Jascha Heifetz (artist), Gregor Piatigorsky (artist), William Primrose (artist)",True
1962,Best Classical Performance- Choral (Other Than Opera),Bach: B Minor Mass.,"Robert Shaw Chorale (artists), Robert Shaw Orchestra (artists)",True
1962,Best Classical Performance- Instrumental Soloist (With Orchestra),Bartók: Violin Concerto No. 1.,"Isaac Stern (artist), The Philadelphia Orchestra (artists)",True
1962,Best Classical Performance- Instrumental Soloist Or Duo (Without Orchestra),Reverie For Spanish Guitar.,Laurindo Almeida (artist),True
1962,Best Classical Performance- Orchestra,Ravel: Daphnis Et Chloe.,Boston Symphony Orchestra (artists),True
1962,Best Classical Performance- Vocal Soloist (With or Without Orchestra),The Art Of The Prima Donna.,Orchestra of the Royal Opera House (artists),True
1962,Best Comedy Performance,An Evening With Mike Nichols And Elaine May.,"Elaine May (artist), Mike Nichols (artist)",True
1962,Best Contemporary Classical Composition,Stravinsky: Movements For Piano And Orchestra.,Igor Stravinsky (composer),True
1962,Best Country & Western Recording,Big Bad John.,Jimmy Dean (artist),True
1962,Best Documentary or Spoken Word Recording (Other Than Comedy),Humor In Music.,Leonard Bernstein (artist),True
1962,Best Engineering Contribution - Classical Recording,Ravel: Daphnis Et Chloe.,"Lewis W. Layton (engineer), Charles Münch (conductor)",True
1962,Best Engineering Contribution - Novelty,Stan Freberg Presents The United States Of America.,"John Kraus (engineer), Stan Freberg (artist)",True
1962,Best Engineering Contribution - Popular Recording,Judy At Carnegie Hall.,"Robert Arnold (engineer), Judy Garland (artist)",True
1962,Best Folk Recording,Belafonte Folk Singers At Home And Abroad.,The Belafonte Folk Singers (artists),True
1962,Best Gospel Or Other Religious Recording,Everytime I Feel The Spirit.,Mahalia Jackson (artist),True
1962,Best Instrumental Arrangement,Moon River.,Breakfast at Tiffany's,True
1962,Best Instrumental Theme Or Instrumental Version of Song,African Waltz.,"Cannonball Adderley (artist), Galt MacDermot (composer)",True
1962,Best Jazz Performance - Large Group (Instrumental),West Side Story,Stan Kenton,True
1962,Best Jazz Performance- Soloist or Small Group (Instrumental),Andre Previn Plays Harold Arlen.,André Previn (artist),True
1962,Best New Artist Of 1961,Peter Nero (artist),,True
1962,Best Opera Recording,Puccini: Madame Butterfly.,"Gabriele Santini (artist), Rome Opera Orchestra (artists)",True
1962,Best Original Cast Show Album,How To Succeed In Business Without Really Trying.,"Frank Loesser (composer), Robert Morse (artist), Rudy Vallee (artist), Charles Nelson Reilly (artist), Bonnie Scott (artist), Claudette Sutherland (artist), Sammy Smith (artist)",True
1962,Best Original Jazz Composition,African Waltz.,"Galt MacDermot (composer), Cannonball Adderley (artist)",True
1962,Best Performance by a Chorus,Great Band With Great Voices.,Johnny Mann (artist),True
1962,Best Performance by a Vocal Group,High Flying.,Hendricks And Ross Lambert (artists),True
1962,Best Performance by an Orchestra - for Other Than Dancing,Breakfast at Tiffany's,Henry Mancini,True
1962,Best Performance by an Orchestra- For Dancing,Up A Lazy River.,Si Zentner (artist),True
1962,Best Recording for Children,Prokofiev: Peter And The Wolf.,Leonard Bernstein (artist),True
1962,Best Rhythm & Blues Recording,Hit The Road Jack.,Ray Charles (artist),True
1962,Best Rock & Roll Recording,Let's Twist Again.,Chubby Checker (artist),True
1962,"Best Solo Vocal Performance, Female",Judy At Carnegie Hall.,Judy Garland (artist),True
1962,"Best Solo Vocal Performance, Male",Lollipops And Roses.,Jack Jones (artist),True
1962,Best Soundtrack Album or Recording of Original Cast from Motion Picture or Television,West Side Story,"Saul Chaplin (music director), Johnny Green (music director), Irwin Kostal (music director), Sid Ramin (music director)",True
1962,Best Soundtrack Album or Recording of Original Cast from Motion Picture or Television,Blue Hawaii,Elvis Presley,False
1962,Best Soundtrack Album or Recording of Original Cast from Motion Picture or Television,The Parent Trap,Camarata,False
1962,Best Soundtrack Album or Recording of Score from Motion Picture or Television,Breakfast at Tiffany's,Henry Mancini,True
1962,Best Soundtrack Album or Recording of Score from Motion Picture or Television,La dolce vita,Nino Rota,False
1962,Best Soundtrack Album or Recording of Score from Motion Picture or Television,The Guns of Navarone,Dimitri Tiomkin,False
1962,Record of the Year,Moon River.,Breakfast at Tiffany's,True
1962,Song of the Year,Moon River.,Breakfast at Tiffany's,True
1963,Album Of the Year - Classical,Columbia Records Presents Vladimir Horowitz.,Vladimir Horowitz (artist),True
1963,Album of the Year (Other Than Classical),The First Family.,"Vaughn Meader (artist), Bob Booker (producer), Earle Doud (producer)",True
1963,Best Album Cover- Classical,The Intimate Bach.,"Marvin Schwartz (art director), Laurindo Almeida (artist), Virginia Majewski (artist), Vincent De Rosa (artist)",True
1963,Best Album Cover- Other Than Classical,Lena...Lovely And Alive.,"Robert M. Jones (art director), Lena Horne (artist)",True
1963,Best Background Arrangement (Behind Vocalist Or Instrumentalist),I Left My Heart In San Francisco.,"Marty Manning (arranger), Tony Bennett (artist)",True
1963,Best Classical Performance- Chamber Music,"The Heifetz-Piatigorsky Concerts With Primrose, Pennario And Guests.","Jascha Heifetz (artist), Gregor Piatigorsky (artist), William Primrose (artist)",True
1963,Best Classical Performance- Choral (Other Than Opera),Bach: St. Matthew Passion.,"The Philharmonia Chorus (artist), The Philharmonia Orchestra (artist)",True
1963,Best Classical Performance- Instrumental Soloist Or Duo (Without Orchestra),Columbia Records Presents Vladimir Horowitz.,Vladimir Horowitz (artist),True
1963,Best Classical Performance- Instrumental Soloist Or Soloists (With Orchestra),Stravinsky: Violin Concerto In D.,"Columbia Symphony Orchestra (artists), Isaac Stern (artist)",True
1963,Best Classical Performance- Orchestra,Stravinsky: The Firebird Ballet.,Columbia Symphony Orchestra (artists),True
1963,Best Classical Performance- Vocal Soloist (With or Without Orchestra),Wagner: Gotterdamerung - Brunnhilde's Immolation Scene/Wesendonck Songs.,New York Philharmonic (artist),True
1963,Best Comedy Performance,The First Family.,Vaughn Meader (artist),True
1963,Best Contemporary Composition,Stravinsky: The Flood.,Igor Stravinsky (composer),True
1963,Best Country & Western Recording,Funny Way Of Laughin'.,Burl Ives (artist),True
1963,"Best Documentary, Spoken Word, or Drama Recording (Other Than Comedy)",The Story-Teller: A Session With Charles Laughton.,Charles Laughton (artist),True
1963,Best Engineered Recording - Classical,Strauss: Also Sprach Zarathustra.,"Lewis W. Layton (engineer), Fritz Reiner (conductor)",True
1963,Best Engineering Contribution - Novelty,"The Civil War, Vol. I>","Robert Fine (engineer), Martin Gabel (artist), Frederick Fennell (artist)",True
1963,Best Engineering Contribution - Other than Novelty and Other Than Classical,Hatari.,"Al Schmitt (engineer), Henry Mancini (artist)",True
1963,Best Folk Recording,If I Had A Hammer.,Peter Paul & Mary (artist),True
1963,Best Gospel Or Other Religious Recording,Great Songs Of Love And Faith.,Mahalia Jackson (artist),True
1963,Best Instrumental Arrangement,Baby Elephant Walk.,Henry Mancini (artist/arranger),True
1963,Best Instrumental Theme,A Taste Of Honey.,"Ric Marlow (composer), Bobby Scott (composer), Eddie Cano (artist)",True
1963,Best Jazz Performance- Large Group (Instrumental),Adventures In Jazz.,Stan Kenton (artist),True
1963,Best Jazz Performance- Soloist or Small Group (Instrumental),Desafinado.,Stan Getz (artist),True
1963,Best New Artist Of 1962,Robert Goulet (artist),,True
1963,Best Opera Recording,Verdi: Aida.,"Rome Opera Orchestra (artist), Gregor Piatigorsky (conductor)",True
1963,Best Original Cast Show Album,No Strings.,"Richard Rodgers (composer), Richard Kiley (artist), Diahann Carroll (artist), Noëlle Adam (artist), Don Chastain (artist), Mitchell Gregg (artist), Bernice Mass (artist)",True
1963,Best Original Jazz Composition,Cast Your Fate To The Wind.,"Vince Guaraldi (composer), The Vince Guaraldi Trio (artists)",True
1963,Best Performance by a Chorus,Presenting The New Christy Minstrels.,The New Christy Minstrels (artists),True
1963,Best Performance by a Vocal Group,If I Had A Hammer.,Peter Paul & Mary (artists),True
1963,Best Performance by an Orchestra or Instrumentalist with Orchestra- Primarily Not Jazz Or For Dancing,The Colorful Peter Nero.,Peter Nero (artist),True
1963,Best Performance by an Orchestra- For Dancing,Fly Me To The Moon Bossa Nova.,Joseph Harnell (artist),True
1963,Best Recording for Children,Saint-Saens: Carnival Of The Animals/Britten: Young Person's Guide To The Orchestra.,Leonard Bernstein (artist),True
1963,Best Rhythm & Blues Recording,I Can't Stop Loving You.,Ray Charles (artist),True
1963,Best Rock & Roll Recording,Alley Cat.,Bent Fabricius-Bjerre (artist),True
1963,"Best Solo Vocal Performance, Female",Ella Swings Brightly With Nelson Riddle.,Ella Fitzgerald (artist),True
1963,"Best Solo Vocal Performance, Male",I Left My Heart In San Francisco.,Tony Bennett (artist),True
1963,Record of the Year,I Left My Heart In San Francisco.,Tony Bennett (artist),True
1963,Song of the Year,What Kind Of Fool Am I.,"Leslie Bricusse (songwriter), Sammy Davis Jr. (artist), Anthony Newley (artist/songwriter)",True
1964,Album of the Year (Other Than Classical),The Barbra Streisand Album.,Barbra Streisand (artist),True
1964,Best Album Cover- Classical,Puccini: Madama Butterfly.,"Robert M. Jones (art director), Erich Leinsdorf (conductor)",True
1964,Best Album Cover- Other Than Classical,The Barbra Streisand Album.,"Barbra Streisand (artist), John Berg (art director)",True
1964,Best Album Notes,The Ellington Era.,"Duke Ellington (artist), Leonard Feather (album notes writer), Stanley Dance (album notes writer)",True
1964,Best Background Arrangement (Behind Vocalist Or Instrumentalist),Days Of Wine And Roses.,Henry Mancini (artist/arranger),True
1964,Best Classical Composition By A Contemporary Composer,Britten: War Requiem.,Benjamin Britten (composer),True
1964,Best Classical Performance- Chamber Music,Evening Of Elizabethan Music.,Julian Bream (artist),True
1964,Best Classical Performance- Choral (Other Than Opera),Britten: War Requiem.,"Highgate School Choir & London Symphony Choir (artists), The Bach Choir (artists), London Symphony Orchestra (artists)",True
1964,Best Classical Performance- Instrumental Soloist Or Duo (Without Orchestra),The Sound Of Horowitz.,Vladimir Horowitz (artist),True
1964,Best Classical Performance- Instrumental Soloist Or Soloists (With Orchestra),Tchaikovsky: Piano Concerto No. 1 In B Flat Minor.,"Artur Rubinstein (artist), Boston Symphony Orchestra (artists)",True
1964,Best Classical Performance- Orchestra,Bartók: Concerto For Orchestra.,Boston Symphony Orchestra (artists),True
1964,Best Classical Performance- Vocal Soloist (With or Without Orchestra),Great Scenes From Gershwin's Porgy And Bess.,RCA Italiana Opera Orchestra (artists),True
1964,Best Comedy Performance,"Hello Mudduh, Hello Faddah.",Allan Sherman (artist),True
1964,Best Country & Western Recording,Detroit City.,Bobby Bare (artist),True
1964,"Best Documentary, Spoken Word, or Drama Recording (Other Than Comedy)",Who's Afraid Of Virginia Woolf?.,"Uta Hagen (artist), Arthur Hill (artist), George Grizzard (artist), Melinda Dillon (artist)",True
1964,Best Engineered Recording- Classical,Puccini: Madama Butterfly.,"Erich Leinsdorf (conductor), Lewis W. Layton (engineer)",True
1964,Best Engineered Recording- Other than Classical,Charade.,"James Malloy (engineer), Henry Mancini (artist)",True
1964,Best Engineered Recording- Special or Novel Effects,"The Civil War, Vol. II.","C. Robert Fine (engineer), Frederick Fennell (artist)",True
1964,Best Folk Recording,Blowin' In The Wind.,Peter Paul & Mary (artists),True
1964,Best Gospel Or Other Religious Recording (Musical),Dominique.,Soeur Sourire (artist),True
1964,Best Instrumental Arrangement,I Can't Stop Loving You.,"Count Basie (artist), Quincy Jones (arranger)",True
1964,Best Instrumental Jazz Performance- Large Group,"Encore: Woody Herman, 1963.",Woody Herman (artist),True
1964,Best Instrumental Jazz Performance- Soloist or Small Group,Conversations With Myself.,Bill Evans (artist),True
1964,Best Instrumental Theme,More - Theme From Mondo Cane.,"Vic Dana (artist), Norman Newell (composer), Nino Oliviero (composer), Riz Ortolani (composer)",True
1964,Best New Artist Of 1963,Ward Swingle.,The Swingle Singers (artists),True
1964,Best Opera Recording,Puccini: Madama Butterfly.,"RCA Italiana Opera Orchestra (artists), Erich Leinsdorf (artist)",True
1964,Best Original Jazz Composition,Gravy Waltz.,"Steve Allen (artist/composer), Ray Brown (composer)",True
1964,Best Original Score from a Motion Picture or Television Show,Tom Jones,John Addison,True
1964,Best Original Score from a Motion Picture or Television Show,Lawrence of Arabia,Maurice Jarre,False
1964,Best Performance by a Chorus,Bach's Greatest Hits.,Ward Swingle (artist),True
1964,Best Performance by a Vocal Group,Blowin' In The Wind.,Peter Paul & Mary (artists),True
1964,Best Performance by an Orchestra or Instrumentalist with Orchestra- Primarily Not Jazz Or For Dancing,Java.,Al Hirt (artist),True
1964,Best Performance by an Orchestra- For Dancing,This Time By Basie! Hits Of The 50's And 60's.,Count Basie (artist),True
1964,Best Recording for Children,Bernstein Conducts For Young People.,Leonard Bernstein (artist),True
1964,Best Rhythm & Blues Recording,Busted.,Ray Charles (artist),True
1964,Best Rock & Roll Recording,Deep Purple.,"April Stevens (artist), Nino Tempo (artist)",True
1964,Best Score From An Original Cast Show Album,She Loves Me.,"Jerry Bock (composer), Sheldon Harnick (composer), Barbara Cook (artist), Barbara Baxley (artist), Jack Cassidy (artist), Daniel Massey (artist), Nathaniel Frey (artist), Ralph Williams (artist), Jo Wilder (artist)",True
1964,"Best Vocal Performance, Female",The Barbra Streisand Album.,Barbra Streisand (artist),True
1964,"Best Vocal Performance, Male",Wives And Lovers.,Jack Jones (artist),True
1964,Classical Album Of the Year,Britten: War Requiem.,Benjamin Britten (artist),True
1964,Most Promising New Classical Recording Artist,Liszt: Concerto No. 1 For Piano & Orchestra.,"Leonard Bernstein (artist), New York Philharmonic (artists)",True
1964,Record of the Year,Days Of Wine And Roses.,Henry Mancini (artist),True
1964,Song of the Year,Days Of Wine And Roses.,"Henry Mancini (artist/songwriter), Johnny Mercer (songwriter)",True
1965,Album of the Year,Getz/Gilberto,"João Gilberto (artist), Stan Getz (artist)",True
1965,Album of the Year -- Classical,Bernstein: Symphony No. 3 Kaddish,Leonard Bernstein (artist),True
1965,Best Accompaniment Arrangement for Vocalist(s) or Instrumentalist(s),People,"Peter Matz (arranger), Barbra Streisand (artist)",True
1965,Best Album Cover- Other Than Classical,People,"Don Bronstein (photographer), Barbra Streisand (artist), Bob Cato (art director)",True
1965,Best Album Notes,Mexico (Legacy Collection),"Carlos Chavez (artist), Caitlin Shannon (album notes writer), Carleton Beals (album notes writer)",True
1965,Best Chamber Music Performance - Vocal,It Was A Lover And His Lass,Noah Greenberg (artist),True
1965,Best Chamber Performance - Instrumental,"Beethoven: Trio No. 1 In E Flat, Op. 1 #1","Gregor Piatigorsky (artist), Jascha Heifetz (artist)",True
1965,Best Choral Performance (other than opera),Britten: A Ceremony Of Carols,Robert Shaw Chorale (artist),True
1965,Best Comedy Performance,I Started Out as a Child,Bill Cosby,True
1965,Best Composition by a Contemporary Composer,Barber: Piano Concerto,Samuel Barber (composer),True
1965,Best Country & Western Album,Dang Me/Chug-A-Lug,Roger Miller (artist),True
1965,Best Country & Western Single,Dang Me,Roger Miller (artist),True
1965,Best Country & Western Song,Dang Me,Roger Miller (songwriter),True
1965,Best Country & Western Vocal Performance - Female,Here Comes My Baby,Dottie West (artist),True
1965,Best Country & Western Vocal Performance - Male,Dang Me,Roger Miller (artist),True
1965,"Best Documentary, Spoken Word or Drama Recording (other than comedy)","BBC Tribute To John F. Kennedy (That Was The Week That Was, Cast)",,True
1965,Best Engineered Recording,Britten: Young Person's Guide To The Orchestra,"Carlo Maria Giulini (conductor), Douglas Larter (engineer)",True
1965,Best Engineered Recording - Non-Classical,Getz/Gilberto,"João Gilberto (artist), Stan Getz (artist), Phil Ramone (engineer)",True
1965,Best Engineered Recording - Special or Novel Effects,The Chipmunks Sing The Beatles,"The Chipmunks (artist), Dave Hassinger (engineer)",True
1965,Best Folk Recording,We'll Sing In The Sunshine,Gale Garnett (artist),True
1965,Best Gospel or Other Religious Recording (Musical),Great Gospel Songs,Tennessee Ernie Ford (artist),True
1965,Best Instrumental Arrangement,The Pink Panther,Henry Mancini (arranger),True
1965,Best Instrumental Composition (other than jazz),The Pink Panther Theme,Henry Mancini (composer),True
1965,Best Instrumental Jazz Performance - Large Group or Soloist with Large Group,Guitar From Ipanema,Laurindo Almeida (artist),True
1965,Best Instrumental Jazz Performance - Small Group or Soloist with Small Group,Getz/Gilberto,Stan Getz (artist),True
1965,Best Instrumental Performance - Non-Jazz,The Pink Panther,Henry Mancini (artist),True
1965,Best New Artist,The Beatles (artist),,True
1965,Best Opera Recording,Bizet: Carmen,"Vienna Philharmonic Orchestra and Chorus (artist), Herbert von Karajan (artist)",True
1965,Best Original Jazz Composition,The Cat,Lalo Schifrin (composer),True
1965,Best Original Score Written for a Motion Picture or Television Show,Mary Poppins,"Richard M. Sherman, Robert B. Sherman",True
1965,Best Original Score Written for a Motion Picture or Television Show,Goldfinger,John Barry,False
1965,Best Original Score Written for a Motion Picture or Television Show,The Pink Panther,Henry Mancini,False
1965,Best Performance - Instrumental Soloist or Soloists (with orchestra),Prokofiev: Violin Concerto No. 1 In D,"The Philadelphia Orchestra (artist), Isaac Stern (artist)",True
1965,Best Performance - Instrumental Soloist or Soloists (without orchestra),"Vladimir Horowitz Plays Beethoven, Debussy, Chopin",Vladimir Horowitz (artist),True
1965,Best Performance - Orchestra,Mahler: Symphony No. 5/Berg: Wozzeck Excerpts,Boston Symphony Orchestra (artist),True
1965,Best Performance by a Chorus,The Swingle Singers Going Baroque,"Ward Swingle (artist), The Swingle Singers (artist)",True
1965,Best Performance by a Vocal Group,A Hard Day's Night,The Beatles (artist),True
1965,Best Recording for Children,Mary Poppins,"Richard M. Sherman (music and lyrics by), Robert B. Sherman (music and lyrics by), Irwin Kostal (music adapted and conducted by), Julie Andrews (performed by), Dick Van Dyke (performed by)",True
1965,Best Rhythm & Blues Recording,How Glad I Am,Nancy Wilson (artist),True
1965,Best Rock & Roll Recording,Downtown,Petula Clark (artist),True
1965,Best Score From an Original Cast Show Album,Funny Girl,"John Lankston (artist), Jean Stapleton (artist), Danny Meehan (artist), Kay Medford (artist), Sydney Chaplin (artist), Barbra Streisand (artist), Jule Styne (composer), Bob Merrill (composer)",True
1965,"Best Vocal Performance, Female",People,Barbra Streisand (artist),True
1965,"Best Vocal Performance, Male","Hello, Dolly!",Louis Armstrong (artist),True
1965,Best Vocal Soloist Performance (with or without orchestra),Berlioz: Nuits D'Ete (Song Cycle)/Falla: El Amor Brujo,Chicago Symphony Orchestra (artist),True
1965,Most Promising New Classical Recording Artist,"The Age Of Bel Canto: Operatic Scenes (Boyngne, cond.)",,True
1965,Record of the Year,The Girl From Ipanema,"Stan Getz (artist), Astrud Gilberto (artist)",True
1965,Song of the Year,"Hello, Dolly!","Louis Armstrong (artist), Jerry Herman (songwriter)",True
1965,"Best Contemporary (R&R)  Vocal Performance, Male",Heartaches By The Number,Johnny Tillotson,False
1965,Best Spoken Word Album,Shakespeare's Hamlet,"Richard Burton, John Gielgud, Hume Cronyn (& Original Cast)",False
1966,Album of the Year,September Of My Years,"Frank Sinatra (artist), Sonny Burke (producer)",True
